Farmacia,Titular,Dirección,Municipio,Provincia,Comunidad,Teléfono
Farmacia A Buil C.b.,A Buil C.b.,"Cl Vilamari                106, 08015",Barcelona,Barcelona,CATALUÑA,932261636 
Farmacia A. Prat Martori,Anna Prat Martori,"Francesc Macià 94, 08912",Badalona,Barcelona,Cataluña,933870647 
Farmacia Abad Merin M Milagro,Abad Merin M Milagro,"Gran Via Corts Catalanes   748, 08013",Barcelona,Barcelona,CATALUÑA,932323107 
Farmacia Abad Palacin Miriam,Abad Palacin Miriam,"Rb Mestre Torrents          23, 08430","Roca del Vallès, La",Barcelona,CATALUÑA,938422850 
Farmacia Abad Rodriguez M Rosario,Abad Rodriguez M Rosario,"Pz De La Iglesia 2, 08518",Oristà,Barcelona,CATALUÑA,938128018 
Farmacia Abajo Miron M Carmen,Abajo Miron M Carmen,"Cl Las Carolinas            26, 08012",Barcelona,Barcelona,CATALUÑA,932186744 
Farmacia Abella Diez Inma,Abella Diez Inma,"Cl Gran De Gracia 237, 08012",Barcelona,Barcelona,CATALUÑA,932175537 
Farmacia Abril Garcia Maria,Abril Garcia Maria,"Cl Riera Bisbe Pol 72, 08350",Arenys de Mar,Barcelona,CATALUÑA,937923301 
Farmacia Adell I Gargallo Gerard J,Adell I Gargallo Gerard J,"Cl Priorat          10 Local 5, 08740",Sant Andreu de la Barca,Barcelona,CATALUÑA,936820603 
Farmacia Adrados De Miquel M. Candelas,Adrados De Miquel M. Candelas,"De La Vila               18, 08180",Moià,Barcelona,CATALUÑA,938300417 
Farmacia Adsara Grau Jordi,Adsara Grau Jordi,"Cl Juan Valentin Escalas 7, 08923",Santa Coloma de Gramenet,Barcelona,CATALUÑA,933921002 
Farmacia Aguar Toran Mariano,Aguar Toran Mariano,"Cl Armonia 31, 08035",Barcelona,Barcelona,CATALUÑA,934282111 
Farmacia Aguilar Calvo Adela,Aguilar Calvo Adela,"Cl Francesc Layret 83, 08911",Badalona,Barcelona,CATALUÑA,933895208 
Farmacia Aguilar Perez M Francisca,Aguilar Perez M Francisca,"Cl Ausias March 31, 08010",Barcelona,Barcelona,CATALUÑA,933170291 
Farmacia Agusti Vidal M Isabel,Agusti Vidal M Isabel,"Cl Dante 59 61, 08032",Barcelona,Barcelona,CATALUÑA,934293012 
Farmacia Aja Gonzalez Juana,Aja Gonzalez Juana,"Avda Morera               112, 08915",Badalona,Barcelona,CATALUÑA,933952340 
Farmacia Alamo Ruiz Trinidad,Alamo Ruiz Trinidad,"Pasaje De Las Eras           6, 08719",Jorba,Barcelona,CATALUÑA,938094102 
Farmacia Alavedra Caparroz Isabel,Alavedra Caparroz Isabel,"Cl Sant Pere 27, 08640",Olesa de Montserrat,Barcelona,CATALUÑA,937787234 
Farmacia Alba Jimenez Manuel,Alba Jimenez Manuel,"Cl Bartomeu 2, 08397",Pineda de Mar,Barcelona,CATALUÑA,937622538 
Farmacia Albala Hurtado Soledad,Albala Hurtado Soledad,"Pd Ramon Otero 32, 08860",Castelldefels,Barcelona,CATALUÑA,936361059 
Farmacia Albalat Caturla Fcia,Albalat Caturla Fcia,"Cl Francesc Lairet         205, 08911",Badalona,Barcelona,CATALUÑA,933892113 
Farmacia Alberdi Erauskin IÑigo,Alberdi Erauskin IÑigo,"Cl Venezuela 15, 08019",Barcelona,Barcelona,CATALUÑA,933071340 
Farmacia Alberola Solanas Iolanda,Alberola Solanas Iolanda,"Angel Guimera            5, 08251",Santpedor,Barcelona,CATALUÑA,938320057 
Farmacia Albert Diloy Javier,Albert Diloy Javier,"Ps Maragall 177, 08041",Barcelona,Barcelona,CATALUÑA,933519507 
Farmacia Aldea Lopez Jose Maria,Aldea Lopez Jose Maria,"Ps Las Torres Edif Esmer   4-5, 08191",Rubí,Barcelona,CATALUÑA,936991072 
Farmacia Alegre Ribalta Esther,Alegre Ribalta Esther,"Cl Pau Simo 32, 08395",Sant Pol de Mar,Barcelona,CATALUÑA,937601241 
Farmacia Alemany Inglada Pere,Alemany Inglada Pere,"Cr Sampedor                228, 08243",Manresa,Barcelona,CATALUÑA,938784040 
Farmacia Alert I Badia Montserrat,Alert I Badia Montserrat,"Pz Sant Magi                 6, 08292",Esparreguera,Barcelona,CATALUÑA,937771435 
Farmacia Alfonso A. Y Otros C.b.,Alfonso A. Y Otros C.b.,"Av America 33, 08304",Mataró,Barcelona,CATALUÑA,937903104 
Farmacia Alguacil Mari Purificacion,Alguacil Mari Purificacion,"Cl Provenza                 32, 08029",Barcelona,Barcelona,CATALUÑA,934300347 
Farmacia Aliberch Quer Teresa,Aliberch Quer Teresa,"Ronda Camprodon          36, 08500",Vic,Barcelona,CATALUÑA,938861248 
Farmacia Alier Carrion Teresa,Alier Carrion Teresa,"Cl Infantes                  2, 08241",Manresa,Barcelona,CATALUÑA,938721984 
Farmacia Allue Mugarra Maria Eugenia,Allue Mugarra Maria Eugenia,"Cl Florida Blanca 117, 08011",Barcelona,Barcelona,CATALUÑA,934231757 
Farmacia Almera Puiggros M.consol,Almera Puiggros M.consol,"Cl Sant Josep, 84, 08340",Vilassar de Mar,Barcelona,CATALUÑA,937590941 
Farmacia Alonso Ramos Eva,Alonso Ramos Eva,"Cl Olzinelles 21, 08014",Barcelona,Barcelona,CATALUÑA,934212719 
Farmacia Alonso Riera Enric,Alonso Riera Enric,"Cll Aquari           Local 1-2, 08818",Olivella,Barcelona,CATALUÑA,938968792 
Farmacia Alsina Armengol Conxita,Alsina Armengol Conxita,"Cl San Fructuoso 23, 08004",Barcelona,Barcelona,CATALUÑA,933257589 
Farmacia Alsina Casalduero Macarena,Alsina Casalduero Macarena,"Cl Corcega 360, 08037",Barcelona,Barcelona,CATALUÑA,934574044 
Farmacia Alsina Costa Jose Maria,Alsina Costa Jose Maria,"Cl Sant Antoni 17, 08757",Corbera de Llobregat,Barcelona,CATALUÑA,936501753 
Farmacia Altirriba Gutierrez Joan,Altirriba Gutierrez Joan,"Av A.eduardo Ferres 136, 08340",Vilassar de Mar,Barcelona,CATALUÑA,937506953 
Farmacia Altirriba Gutierrez Jordi,Altirriba Gutierrez Jordi,"Cl Porto                 30-36, 08032",Barcelona,Barcelona,CATALUÑA,934291092 
Farmacia Altirriba Pertegaz Juan,Altirriba Pertegaz Juan,"Cl Santa Maria 93, 08340",Vilassar de Mar,Barcelona,CATALUÑA,937595958 
Farmacia Alvarez Camps Maria Rosa,Alvarez Camps Maria Rosa,"Cl Calderon De La Barca 88, 08032",Barcelona,Barcelona,CATALUÑA,934205989 
Farmacia Alvarez Candau Anna Maria,Alvarez Candau Anna Maria,"Cl Casanova 91, 08011",Barcelona,Barcelona,CATALUÑA,934537930 
Farmacia Alvarez Fernandez Rosa Maria,Alvarez Fernandez Rosa Maria,"Ctra Sant Joan Despi 25, 08940",Cornellà de Llobregat,Barcelona,CATALUÑA,933775391 
Farmacia Alvarez Granja Guadalupe,Alvarez Granja Guadalupe,"Ps De Gracia 26, 08007",Barcelona,Barcelona,CATALUÑA,933021124 
Farmacia Alvarez Pereiro Eduardo,Alvarez Pereiro Eduardo,"Cl Pasteral                  9, 08202",Sabadell,Barcelona,CATALUÑA,937252989 
Farmacia Alvarez Saz S C P,Alvarez Saz S C P,"Cl Gran Via 28, 08600",Berga,Barcelona,CATALUÑA,938210402 
Farmacia Alvarez-pereiro Scp,Alvarez-pereiro Scp,"Cl De Los Reyes Local 5, 08290",Cerdanyola del Vallès,Barcelona,CATALUÑA,936926721 
Farmacia Amado Del Pino Margarita,Amado Del Pino Margarita,"Cl Prat De La Riba          17, 08100",Mollet del Vallès,Barcelona,CATALUÑA,935930161 
Farmacia Amado Ruiz Juan Luis,Amado Ruiz Juan Luis,"Cl Montserrat De Casanovas  12, 08032",Barcelona,Barcelona,CATALUÑA,933573046 
Farmacia Anarte Salvador M Del Prado,Anarte Salvador M Del Prado,"Cl Franca 20 (can Parellada), 08228",Terrassa,Barcelona,CATALUÑA,937311939  - 937851181
Farmacia Andres Carbo Luz,Andres Carbo Luz,"Ps Verdum                    2, 08016",Barcelona,Barcelona,CATALUÑA,933545704 
Farmacia Andres Carbo Nuria,Andres Carbo Nuria,"Cl Doctor Ferran 40, 08940",Cornellà de Llobregat,Barcelona,CATALUÑA,934715130 
Farmacia Andres Perera Ana M,Andres Perera Ana M,"Cl Mallorca                621, 08026",Barcelona,Barcelona,CATALUÑA,933527054 
Farmacia Andreu Lleal Maria Asuncion,Andreu Lleal Maria Asuncion,"Cl Ganduxer 94, 08022",Barcelona,Barcelona,CATALUÑA,934171118 
Farmacia Anfruns EspuÑa Maite,Anfruns EspuÑa Maite,"Cl Furrioles D`abaix         1, 08696",La Pobla de Lillet,Barcelona,CATALUÑA,938236110 
Farmacia Ania Lafuente M Carmen,Ania Lafuente M Carmen,"Cl Trajano                  22, 08004",Barcelona,Barcelona,CATALUÑA,933321915 
Farmacia Antoja Xirau M Dolores,Antoja Xirau M Dolores,"Ctra Del Montseny           25, 08460",Sant Esteve de Palautordera,Barcelona,CATALUÑA,938482646 
Farmacia Anton Gimeno M Teresa,Anton Gimeno M Teresa,"Pza Sant Pere 5, 08003",Barcelona,Barcelona,CATALUÑA,933191238 
Farmacia Aranalde Forto Montserrat,Aranalde Forto Montserrat,"Cl Manresa                  37, 08250",Sant Joan de Vilatorrada,Barcelona,CATALUÑA,938727114 
